RGB.R byte;RGB.G byte;RGB.B byte;RGB.R %;RGB.G %;RGB.B %;RGB hexadecimal;HSV.H °;HSV.S %;HSV.V %;HSV.C %;HSL.H °;HSL.S %;HSL.L %;HSL.C %;HWB.H °;HWB.W %;HWB.B %;XYZ.X %;XYZ.Y %;XYZ.Z %;xyY.x %;xyY.y %;xyY.Y %;L*u*v*.L %;L*u*v*.u %;L*u*v*.v %;LCHuv.L %;LCHuv.C %;LCHuv.H °;L*A*B*.L %;L*A*B*.a signed max=127;L*A*B*.b signed max=127;LCHab.L %;LCHab.C %;LCHab.H °;Hunter LAB.L %;Hunter LAB.a signed %;Hunter LAB.b signed %;LMS.L %;LMS.M %;LMS.S °;Percentage
73;58;54;0.286275;0.227451;0.211765;#493A36;12.6316;26.0274;28.6275;7.45098;12.6316;14.9606;24.902;7.45098;12.6316;21.1765;71.3725;4.92661;4.70911;4.13875;0.357662;0.341872;4.70911;25.8894;8.80076;4.50638;25.8894;9.88741;27.1144;25.8894;5.86818;4.97714;25.8894;7.69464;40.3032;21.7005;3.76652;2.8051;4.96112;4.5526;4.14887;0.0279929
128;83;41;0.501961;0.32549;0.160784;#805329;28.9655;67.9688;50.1961;34.1176;28.9655;51.4793;33.1373;34.1176;28.9655;16.0784;49.8039;12.3965;10.9369;3.55555;0.461025;0.406744;10.9369;39.474;34.4637;29.6149;39.474;45.44;40.6726;39.474;14.4531;31.7186;39.474;34.8563;65.5028;33.071;10.9734;15.5509;13.2052;9.86494;3.68246;0.0275715
190;147;66;0.745098;0.576471;0.258824;#BE9342;39.1935;65.2632;74.5098;48.6275;39.1935;48.8189;50.1961;48.6275;39.1935;25.8824;25.4902;32.6542;32.2102;9.65049;0.438224;0.432265;32.2102;63.5162;34.6222;52.6893;63.5162;63.0465;56.691;63.5162;7.44747;47.9253;63.5162;48.5005;81.167;56.754;6.51607;27.5778;36.1992;31.7601;10.0263;0.0268825
92;80;57;0.360784;0.313725;0.223529;#5C5039;39.4286;38.0435;36.0784;13.7255;39.4286;23.4899;29.2157;13.7255;39.4286;22.3529;63.9216;8.02097;8.30833;5.05126;0.375152;0.388593;8.30833;34.617;8.65695;16.9139;34.617;19.0006;62.8955;34.617;1.13738;15.4068;34.617;15.4488;85.7779;28.8242;0.781019;8.53368;8.6267;8.49066;5.10447;0.0261821
143;101;47;0.560784;0.396078;0.184314;#8F652F;33.75;67.1329;56.0784;37.6471;33.75;50.5263;37.2549;37.6471;33.75;18.4314;43.9216;16.4955;15.3535;4.78352;0.450296;0.419123;15.3535;46.1147;32.8645;36.4453;46.1147;49.0747;47.9575;46.1147;11.1627;36.5233;46.1147;38.1911;73.0052;39.1836;8.80425;18.7518;17.907;14.4856;4.96241;0.0254647
164;166;108;0.643137;0.65098;0.423529;#A4A66C;62.069;34.9398;65.098;22.7451;62.069;24.5763;53.7255;22.7451;62.069;42.3529;34.902;31.6531;36.2482;19.5136;0.362102;0.414668;36.2482;66.7091;1.63947;40.1483;66.7091;40.1818;87.6616;66.7091;-9.93088;29.8418;66.7091;31.4508;108.407;60.2065;-8.43251;20.4063;35.5986;39.3792;19.7776;0.0225264
166;121;54;0.65098;0.47451;0.211765;#A67936;35.8929;67.4699;65.098;43.9216;35.8929;50.9091;43.1373;43.9216;35.8929;21.1765;34.902;23.2306;22.0499;6.52184;0.448447;0.425654;22.0499;54.0799;35.7979;44.2373;54.0799;56.9072;51.0193;54.0799;10.5472;42.5745;54.0799;43.8615;76.086;46.9573;8.77717;22.9282;25.4368;21.1244;6.78315;0.0225093
211;175;87;0.827451;0.686275;0.341176;#D3AF57;42.5806;58.7678;82.7451;48.6275;42.5806;58.4906;58.4314;48.6275;42.5806;34.1176;17.2549;43.9163;45.1994;15.4262;0.420083;0.432357;45.1994;73.023;29.2721;58.1123;73.023;65.0684;63.2649;73.023;2.8243;49.2251;73.023;49.3061;86.7162;67.2305;2.57751;30.9432;49.0943;45.9206;15.9166;0.0182045
230;197;104;0.901961;0.772549;0.407843;#E6C568;44.2857;54.7826;90.1961;49.4118;44.2857;71.5909;65.4902;49.4118;44.2857;40.7843;9.80392;55.1003;57.7577;21.3401;0.410589;0.430391;57.7577;80.6039;27.0423;61.9686;80.6039;67.6121;66.4241;80.6039;0.513493;50.3846;80.6039;50.3872;89.4161;75.9985;0.485193;33.6599;61.7246;59.4053;21.9366;0.0160293
141;133;74;0.552941;0.521569;0.290196;#8D854A;52.8358;47.5177;55.2941;26.2745;52.8358;31.1628;42.1569;26.2745;52.8358;29.0196;44.7059;20.6086;22.9328;9.81813;0.386221;0.429779;22.9328;55.0031;8.11915;39.6393;55.0031;40.4622;78.4244;55.0031;-5.66629;32.7342;55.0031;33.221;99.8206;47.8882;-4.50006;19.4806;23.3594;24.4882;10.0289;0.0128747
