R;G;B;nm
0.52323;0.47668;0.00009;577
0.52914;0.47078;0.00008;578
0.53505;0.46488;0.00007;579
0.54097;0.45896;0.00007;580
0.54689;0.45305;0.00006;581
0.55275;0.44719;0.00006;582
0.55849;0.44146;0.00005;583
0.56405;0.43591;0.00005;584
0.56937;0.43059;0.00004;585
0.57444;0.42552;0.00004;586
0.57930;0.42066;0.00004;587
0.58401;0.41596;0.00003;588
0.58860;0.41137;0.00003;589
0.59312;0.40685;0.00003;590
0.59760;0.40238;0.00002;591
0.60201;0.39796;0.00002;592
0.60636;0.39362;0.00002;593
0.61060;0.38938;0.00002;594
0.61474;0.38524;0.00002;595
0.61877;0.38121;0.00002;596
0.62269;0.37729;0.00002;597
0.62653;0.37346;0.00001;598
0.63028;0.36971;0.00001;599
0.63396;0.36602;0.00001;600
0.63758;0.36241;0.00001;601
0.64111;0.35888;0.00001;602
0.64454;0.35545;0.00001;603
0.64785;0.35214;0.00001;604
0.65103;0.34896;0.00001;605
0.65407;0.34593;0.00001;606
0.65697;0.34302;0.00001;607
0.65975;0.34024;0.00001;608
0.66242;0.33758;0.00001;609
0.66498;0.33502;0.00001;610
0.66744;0.33256;0.00001;611
0.66980;0.33019;0.00001;612
0.67208;0.32791;0.00001;613
0.67427;0.32572;0.00000;614
0.67638;0.32361;0.00000;615
0.67841;0.32159;0.00000;616
0.68038;0.31962;0.00000;617
0.68228;0.31772;0.00000;618
0.68414;0.31586;0.00000;619
0.68596;0.31404;0.00000;620
0.68773;0.31227;0.00000;621
0.68945;0.31055;0.00000;622
0.69109;0.30891;0.00000;623
0.69262;0.30738;0.00000;624
0.69405;0.30595;0.00000;625
0.69535;0.30465;0.00000;626
0.69656;0.30344;0.00000;627
0.69768;0.30232;0.00000;628
0.69875;0.30125;0.00000;629
0.69977;0.30023;0.00000;630
0.70077;0.29923;0.00000;631
0.70174;0.29826;0.00000;632
0.70268;0.29732;0.00000;633
0.70359;0.29641;0.00000;634
0.70447;0.29553;0.00000;635
0.70533;0.29467;0.00000;636
0.70618;0.29382;0.00000;637
0.70702;0.29298;0.00000;638
0.70786;0.29214;0.00000;639
0.70871;0.29129;0.00000;640
0.70957;0.29043;0.00000;641
0.71042;0.28958;0.00000;642
0.71122;0.28878;0.00000;643
0.71195;0.28805;0.00000;644
0.71259;0.28741;0.00000;645
0.71312;0.28688;0.00000;646
0.71356;0.28644;0.00000;647
0.71395;0.28605;0.00000;648
0.71431;0.28569;0.00000;649
0.71465;0.28535;0.00000;650
0.71501;0.28499;0.00000;651
0.71537;0.28463;0.00000;652
0.71574;0.28426;0.00000;653
0.71611;0.28389;0.00000;654
0.71648;0.28352;0.00000;655
0.71685;0.28315;0.00000;656
0.71721;0.28279;0.00000;657
0.71756;0.28244;0.00000;658
0.71791;0.28209;0.00000;659
0.71824;0.28176;0.00000;660
0.71857;0.28143;0.00000;661
0.71887;0.28113;0.00000;662
0.71916;0.28084;0.00000;663
